,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.9140,0.8911,0.8929,0.8829,0.9256,0.8929,0.9290,0.9014,10.5000,6.3000
std,5.9161,0.0555,0.0998,0.1308,0.0812,0.0728,0.1308,0.0595,0.0961,5.9161,5.2925
