,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.9017,0.9185,0.8321,0.8608,0.9449,0.8321,0.9192,0.9008,10.5000,7.6500
std,5.9161,0.0646,0.1054,0.1507,0.0918,0.0872,0.1507,0.0839,0.1058,5.9161,5.7057
