,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.9265,0.9173,0.8964,0.9011,0.9452,0.8964,0.9415,0.9245,10.5000,20.9000
std,5.9161,0.0515,0.0915,0.1077,0.0713,0.0629,0.1077,0.0436,0.0545,5.9161,7.0778
