,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,5.5000,0.7916,0.7188,0.6604,0.6666,0.8706,0.6604,0.8119,0.7403,5.5000,21.3000
std,3.0277,0.1289,0.3045,0.3091,0.2796,0.1831,0.3091,0.1675,0.2017,3.0277,16.4995
