,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.8950,0.8848,0.8455,0.8517,0.9263,0.8455,0.9186,0.8989,10.5000,8.9000
std,5.9161,0.0657,0.0978,0.1628,0.1066,0.0683,0.1628,0.0678,0.0751,5.9161,6.1976
