Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
1,0.8571,0.8571,0.7500,0.8000,0.9231,0.7500,0.8846,0.8237,1,20
2,0.8095,0.7000,0.8750,0.7778,0.7692,0.8750,0.8558,0.8122,2,1
3,0.9524,1.0000,0.8750,0.9333,1.0000,0.8750,0.9327,0.9417,3,4
4,0.9524,0.8889,1.0000,0.9412,0.9231,1.0000,0.9615,0.9318,4,3
5,0.9048,1.0000,0.7500,0.8571,1.0000,0.7500,0.9231,0.9187,5,5
6,0.8571,0.7778,0.8750,0.8235,0.8462,0.8750,0.9038,0.8356,6,13
7,0.8095,0.8333,0.6250,0.7143,0.9231,0.6250,0.8846,0.8971,7,8
8,0.8571,0.7778,0.8750,0.8235,0.8462,0.8750,0.9423,0.9203,8,4
9,0.9000,0.7778,1.0000,0.8750,0.8462,1.0000,0.9670,0.9379,9,3
10,0.9000,0.7778,1.0000,0.8750,0.8462,1.0000,0.9670,0.9478,10,6
11,0.8500,0.8333,0.7143,0.7692,0.9231,0.7143,0.8901,0.8769,11,9
12,0.9500,0.8750,1.0000,0.9333,0.9231,1.0000,0.9670,0.9379,12,3
13,0.9500,1.0000,0.8571,0.9231,1.0000,0.8571,0.9341,0.9341,13,7
14,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,14,14
15,0.8500,0.8333,0.7143,0.7692,0.9231,0.7143,0.8681,0.8286,15,17
16,0.7500,1.0000,0.3750,0.5455,1.0000,0.3750,0.6979,0.6910,16,4
17,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,17,18
18,0.9000,1.0000,0.7500,0.8571,1.0000,0.7500,0.8958,0.9097,18,8
19,0.9000,0.8750,0.8750,0.8750,0.9167,0.8750,0.9063,0.8478,19,10
20,0.9500,0.8889,1.0000,0.9412,0.9167,1.0000,0.9896,0.9861,20,21
