,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.8798,0.8834,0.7973,0.8274,0.9301,0.7973,0.9063,0.8774,10.5000,13.5500
std,5.9161,0.0795,0.1245,0.1632,0.1203,0.0825,0.1632,0.0711,0.1068,5.9161,9.3159
