,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.9057,0.9145,0.9174,0.9142,0.8919,0.9174,0.9562,0.9644,10.5000,11.8500
std,5.9161,0.0278,0.0475,0.0469,0.0248,0.0677,0.0469,0.0224,0.0215,5.9161,5.7608
