,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.9090,0.9079,0.8580,0.8673,0.9365,0.8580,0.9324,0.9062,10.5000,9.7500
std,5.9161,0.0493,0.0783,0.1678,0.0937,0.0623,0.1678,0.0488,0.0735,5.9161,9.0314
