,Fold,accuracy,precision,recall,f1_score,specificity,sensitivity,roc_auc,avg_precision,fold,best_epoch
mean,10.5000,0.9146,0.8849,0.9152,0.8906,0.9151,0.9152,0.9563,0.9340,10.5000,8.7000
std,5.9161,0.0563,0.1206,0.0978,0.0675,0.0995,0.0978,0.0368,0.0599,5.9161,5.4202
